iter	Logloss
0	0.6616627421
1	0.640077094
2	0.621861341
3	0.6091958292
4	0.5938259555
5	0.5777363228
6	0.5641154052
7	0.5465290779
8	0.5343175649
9	0.5253370535
10	0.5152429075
11	0.5039034971
12	0.494083292
13	0.4869167483
14	0.4800141817
15	0.4744378043
16	0.468431576
17	0.4619170414
18	0.4560716371
19	0.4520436471
20	0.4497033191
21	0.4455907093
22	0.4423133343
23	0.4386980213
24	0.4349802282
25	0.4310116025
26	0.4267069985
27	0.4235042977
28	0.4208978064
29	0.417259069
30	0.4133506174
31	0.410227254
32	0.4066657542
33	0.4045113689
34	0.4023280031
35	0.3999823807
36	0.3963377154
37	0.3934108443
38	0.3912932472
39	0.3893714588
40	0.3875595738
41	0.3849698252
42	0.3813678219
43	0.3795780768
44	0.3777553672
45	0.37573262
46	0.3745693265
47	0.3721739929
48	0.3686163504
49	0.3666827738
50	0.3645101037
51	0.3625507432
52	0.3612247626
53	0.3604204232
54	0.3590329897
55	0.3575423167
56	0.3554918264
57	0.3544389558
58	0.352641455
59	0.3511698537
60	0.3494531143
61	0.3483422399
62	0.345184322
63	0.3435600953
64	0.3423130018
65	0.3398605105
66	0.3385221708
67	0.3351718166
68	0.3340514807
69	0.333152726
70	0.3316703084
71	0.3302135379
72	0.3295554392
73	0.3284618215
74	0.3280058601
75	0.3269349217
76	0.3254912079
77	0.3241502648
78	0.3229152637
79	0.3219831377
80	0.3206452368
81	0.319222775
82	0.3171288451
83	0.3161241382
84	0.3151305108
85	0.3140530685
86	0.3130596966
87	0.3107272034
88	0.3086432296
89	0.306450496
90	0.3045959527
91	0.303727681
92	0.3033130124
93	0.302357741
94	0.3009671299
95	0.2996384461
96	0.2985628109
97	0.2976959171
98	0.2963551339
99	0.295393302
100	0.2939241835
101	0.292228628
102	0.2913076068
103	0.2909115189
104	0.2899732773
105	0.2890918337
106	0.2877411384
107	0.2862046755
108	0.2856506027
109	0.2850160464
110	0.2834786566
111	0.2828108763
112	0.2819048668
113	0.2807781901
114	0.2796422545
115	0.2784842553
116	0.2768593554
117	0.2765318773
118	0.2747042059
119	0.2741504396
120	0.2735552967
121	0.2730905911
122	0.272308254
123	0.2716527079
124	0.2700564333
125	0.2696717499
126	0.2688315088
127	0.2678453804
128	0.2670500102
129	0.2661799656
130	0.2651019671
131	0.2648681083
132	0.26422495
133	0.2633764496
134	0.2624556997
135	0.261935683
136	0.2611252419
137	0.2604343405
138	0.2589163676
139	0.2573269348
140	0.2564113521
141	0.2556586748
142	0.2548240454
143	0.2529632366
144	0.2521939
145	0.2514037822
146	0.2498184946
147	0.2479856281
148	0.2466856491
149	0.2460917998
150	0.2453117681
151	0.2450614168
152	0.2445248712
153	0.2432891808
154	0.2428001376
155	0.2425766133
156	0.2416697283
157	0.2409910188
158	0.2403761778
159	0.2395608449
160	0.2391206956
161	0.2384520988
162	0.237677791
163	0.2367177688
164	0.2349059964
165	0.2344389873
166	0.2329196244
167	0.2320098058
168	0.2313206855
169	0.2306975602
170	0.229076399
171	0.2284908669
172	0.2277733063
173	0.2258113784
174	0.2252668908
175	0.2233867851
176	0.2228784471
177	0.2223604209
178	0.2207317698
179	0.2200060144
180	0.2193712993
181	0.2185273391
182	0.2180744049
183	0.2176278047
184	0.2170626026
185	0.2166606948
186	0.216246542
187	0.2155381566
188	0.2152432534
189	0.2138441578
190	0.2122594225
191	0.2110281199
192	0.2100246452
193	0.209545142
194	0.2085057411
195	0.2076547473
196	0.2071886019
197	0.2064420848
198	0.2062648401
199	0.2056894129
