iter	Passed	Remaining
0	12	2516
1	15	1573
2	19	1288
3	22	1118
4	26	1049
5	30	977
6	34	953
7	37	910
8	41	882
9	45	864
10	48	835
11	52	819
12	56	805
13	59	786
14	62	774
15	66	762
16	69	748
17	73	738
18	76	728
19	80	728
20	84	721
21	88	712
22	91	702
23	94	692
24	97	685
25	101	678
26	104	671
27	108	668
28	112	661
29	115	655
30	119	650
31	122	644
32	126	638
33	129	630
34	132	623
35	135	617
36	138	611
37	142	605
38	145	599
39	148	593
40	151	587
41	156	588
42	160	584
43	163	580
44	167	576
45	170	570
46	173	564
47	176	559
48	179	554
49	183	550
50	187	546
51	190	543
52	195	541
53	198	537
54	202	533
55	205	529
56	209	525
57	212	521
58	216	517
59	220	513
60	223	508
61	226	504
62	230	500
63	233	495
64	236	491
65	239	486
66	243	482
67	246	478
68	250	474
69	253	470
70	257	467
71	260	463
72	263	458
73	267	455
74	270	451
75	273	446
76	277	443
77	281	439
78	284	435
79	288	432
80	292	429
81	299	430
82	306	432
83	310	428
84	313	424
85	317	420
86	320	416
87	323	412
88	327	408
89	333	407
90	337	404
91	340	400
92	344	396
93	347	392
94	350	387
95	354	383
96	357	379
97	360	375
98	363	371
99	367	367
100	370	363
101	373	359
102	377	355
103	380	351
104	383	347
105	387	343
106	390	339
107	393	335
108	396	331
109	399	327
110	402	323
111	406	319
112	409	315
113	412	311
114	417	308
115	422	306
116	427	302
117	432	300
118	436	297
119	440	293
120	444	290
121	448	286
122	451	282
123	455	278
124	458	274
125	461	270
126	464	266
127	467	263
128	470	259
129	474	255
130	477	251
131	480	247
132	483	243
133	486	239
134	489	235
135	493	232
136	497	228
137	502	225
138	506	222
139	511	219
140	515	215
141	519	212
142	524	209
143	528	205
144	531	201
145	534	197
146	538	194
147	541	190
148	544	186
149	548	182
150	552	179
151	555	175
152	558	171
153	561	167
154	565	164
155	568	160
156	571	156
157	574	152
158	578	149
159	581	145
160	584	141
161	588	138
162	591	134
163	594	130
164	598	126
165	601	123
166	604	119
167	608	115
168	611	112
169	615	108
170	618	104
171	621	101
172	624	97
173	627	93
174	631	90
175	634	86
176	637	82
177	640	79
178	643	75
179	647	71
180	650	68
181	653	64
182	656	61
183	660	57
184	663	53
185	666	50
186	670	46
187	673	42
188	676	39
189	679	35
190	683	32
191	686	28
192	689	25
193	692	21
194	695	17
195	698	14
196	701	10
197	704	7
198	708	3
199	711	0
